2010-11,1871436
2010-11,1870952
2010-11,1870924
2010-11,1870391
2010-11,1868286
2010-11,1867863
2010-10,1862898
2010-10,1858848
2010-10,1857745
2010-10,1852961
2010-10,1849917
2010-10,1848167
2010-10,1847465
2010-10,1846781
2010-10,1845164
2010-10,1845136
2010-10,1845104
2010-10,1841802
2010-10,1841342
2010-10,1840655
2010-10,1840629
2010-09,1835238
2010-09,1824517
2010-08,1802258
2010-08,1790331
2010-07,1789659
2010-07,1789639
2010-07,1780437
2010-07,1780258
2010-07,1775680
2010-06,1766453
2010-06,1763078
2010-06,1762213
2010-06,1761836
2010-06,1761786
2010-06,1754648
2010-06,1751327
2010-06,1750236
2010-05,1747812
2010-05,1743236
2010-05,1741453
2010-05,1739590
2010-05,1735944
2010-05,1735909
2010-05,1735816
2010-05,1735728
2010-05,1732259
2010-05,1732067
2010-05,1730766
2010-05,1729612
2010-05,1727692
2010-05,1726391
2010-05,1726281
2010-05,1726154
2010-05,1726105
2010-05,1725964
2010-05,1725914
2010-05,1725711
2010-05,1725576
2010-05,1725531
2010-04,1723463
2010-04,1723251
2010-04,1723196
2010-04,1722966
2010-04,1722881
2010-04,1722759
2010-04,1722345
2010-04,1721653
2010-04,1721597
2010-04,1721573
2010-04,1720907
2010-04,1719841
2010-04,1719811
2010-04,1719798
2010-04,1719721
2010-04,1719694
2010-04,1719467
2010-04,1719310
2010-04,1719075
2010-04,1718159
2010-04,1718098
2010-04,1718090
2010-04,1717912
2010-04,1717885
2010-04,1717850
2010-04,1717342
2010-04,1716776
2010-04,1716774
2010-04,1716773
2010-04,1713167
2010-04,1712915
2010-04,1712129
2010-04,1709691
2010-04,1708621
2010-04,1707767
2010-04,1707755
2010-04,1705607
2010-04,1705602
2010-04,1705132
2010-04,1705021
2010-04,1704800
2010-04,1704787
2010-04,1704758
2010-04,1704751
2010-04,1704735
2010-04,1704701
2010-04,1704680
2010-04,1704597
2010-04,1704593
2010-04,1704585
2010-04,1704568
2010-04,1704550
2010-04,1704505
